cosine,phash_hamming,image_id_a,image_id_b,linked
0.99961132,0,628,1097,1
0.99948508,2,416,1546,1
0.99920487,0,610,628,1
0.99898154,4,1523,1766,1
0.99887884,2,721,2767,1
0.99883401,2,1806,2461,1
0.99882782,0,705,4520,1
0.99881309,0,2288,4825,1
0.99874794,2,416,2876,1
0.99867272,2,570,1120,1
0.99867153,0,610,1097,1
0.99863493,2,1546,2876,1
0.99859434,0,763,2876,1
0.99858236,0,1448,3384,1
0.99858117,2,1806,2767,1
0.99853390,2,721,1806,1
0.99841774,0,162,936,1
0.99828923,2,3330,3619,1
0.99821466,2,416,763,1
0.99807060,2,436,444,1
0.99805772,0,2924,3698,1
0.99801433,2,2461,2767,1
0.99798775,0,43,4094,1
0.99792159,0,270,4604,1
0.99791217,2,1546,3823,1
0.99784094,4,1052,3286,1
0.99781436,0,2247,4977,1
0.99779218,0,811,936,1
0.99773264,2,763,1546,1
0.99773198,4,2553,3449,1
0.99769437,4,270,1205,1
0.99758857,2,270,4372,1
0.99758166,0,721,2461,1
0.99750543,4,1052,2016,1
0.99739468,0,3278,3823,1
0.99737704,2,570,2182,1
0.99730861,2,2016,4825,1
0.99694639,2,416,3823,1
0.99688327,0,811,4961,1
0.99672294,0,43,3278,1
0.99664056,0,811,4154,1
0.99656415,0,936,4154,1
0.99656290,0,811,1035,1
0.99651462,2,1374,2528,1
0.99647355,2,2016,2288,1
0.99634016,0,936,1035,1
0.99631536,0,162,811,1
0.99627692,4,2016,3286,1
0.99626535,2,3278,4520,1
0.99623191,0,162,4154,1
0.99622285,0,3278,4094,1
0.99616826,4,2876,3823,1
0.99608749,0,1251,3462,1
0.99602628,4,74,3442,1
0.99587065,2,3384,3766,1
0.99584514,2,1482,1613,1
0.99582088,0,1035,4154,1
0.99577957,0,610,1691,1
0.99574697,0,3698,4961,1
0.99570173,2,3243,3290,1
0.99569941,2,705,3823,1
0.99556637,0,162,1035,1
0.99556160,0,811,3698,1
0.99533719,2,4372,4604,1
0.99523687,0,936,4961,1
0.99520385,0,2924,4961,1
0.99513459,2,1546,3278,1
0.99498963,2,182,1988,1
0.99490774,0,4154,4961,1
0.99490505,4,1205,4372,1
0.99481189,4,1052,4825,1
0.99478072,0,628,1691,1
0.99475455,0,4449,4681,1
0.99473619,2,416,3278,1
0.99468219,2,1120,1202,1
0.99465376,2,3823,4520,1
0.99463248,6,2380,4541,1
0.99456006,4,763,3823,1
0.99454600,2,705,3278,1
0.99451065,4,1120,2182,1
0.99441344,4,1712,4856,1
0.99434674,4,1205,4604,1
0.99432743,0,1035,4961,1
0.99431372,0,3823,4094,1
0.99429131,0,936,3698,1
0.99412060,2,2638,3396,1
0.99407429,0,162,4961,1
0.99393320,0,1097,1691,1
0.99392992,2,705,1546,1
0.99388957,2,7,1482,1
0.99377662,2,705,2876,1
0.99371260,0,43,3823,1
0.99369359,4,146,3264,1
0.99365932,4,4535,4541,1
0.99365866,4,2806,4127,1
0.99365699,2,1546,4520,1
0.99345350,4,3286,4395,1
0.99333906,2,1971,4725,1
0.99325907,0,3282,4449,1
0.99306107,2,2182,2758,1
0.99302995,0,416,4520,1
0.99300170,4,2876,3278,1
0.99299973,2,1739,4230,1
0.99294245,2,1448,3766,1
0.99293393,4,1116,1895,1
0.99293250,4,75,3449,1
0.99279475,2,705,763,1
0.99279439,2,2876,4520,1
0.99275762,4,2873,4993,1
0.99267316,0,416,705,1
0.99252737,0,811,2924,1
0.99249423,6,403,1986,1
0.99230975,2,763,4520,1
0.99219561,6,277,2418,1
0.99218667,4,1052,2288,1
0.99213952,4,609,3865,1
0.99201763,8,2380,4535,1
0.99198097,0,162,3698,1
0.99197787,4,75,2553,1
0.99190402,2,1097,4230,1
0.99186569,2,1097,1118,1
0.99183238,0,3698,4154,1
0.99182028,2,536,2533,1
0.99174148,2,2838,3320,1
0.99173284,0,1035,3698,1
0.99147767,6,2684,3690,1
0.99147308,2,1664,3865,1
0.99147278,4,763,3278,1
0.99144781,2,2520,4725,1
0.99138618,0,3282,4681,1
0.99138242,2,1712,1971,1
0.99133712,2,7,1613,1
0.99129289,0,936,2924,1
0.99107993,2,570,1202,1
0.99094868,2,1971,4856,1
0.99067581,2,628,4230,1
0.99061847,2,570,2758,1
0.99045902,4,311,3320,1
0.99036932,2,3704,4528,1
0.99034536,2,1118,4230,1
0.99019718,4,1995,3655,1
0.99018717,6,3286,4825,1
0.99014425,6,2520,3264,1
0.99007595,6,797,2854,1
0.98997593,4,3619,3981,1
0.98996973,0,162,4368,1
0.98993182,0,2924,4154,1
0.98990816,2,4094,4520,1
0.98973376,0,1035,2924,1
0.98972428,0,583,2787,1
0.98965085,0,1974,3290,1
0.98958844,0,162,2924,1
0.98950034,6,503,2684,1
0.98947847,2,705,4094,1
0.98944670,2,628,1118,1
0.98935318,6,3330,3981,1
0.98925322,8,298,4806,1
0.98908722,4,2306,2838,1
0.98899603,2,43,1546,1
0.98883247,2,1546,4094,1
0.98879230,2,2555,4993,1
0.98865277,2,403,3074,1
0.98861891,10,953,3449,1
0.98861665,6,2288,3286,1
0.98852956,4,1590,3472,1
0.98839688,2,1099,1995,1
0.98836458,4,2288,4915,1
0.98830366,6,1712,2520,1
0.98819840,4,311,2838,1
0.98794174,0,936,4368,1
0.98786312,2,43,416,1
0.98778415,2,610,1118,1
0.98769498,0,4154,4368,1
0.98762751,6,1506,2418,1
0.98758566,12,953,2553,1
0.98752159,4,2306,3320,1
0.98747951,6,1337,3417,1
0.98746979,4,627,3320,1
0.98745060,4,797,2867,1
0.98743576,4,1834,3568,1
0.98736626,4,1712,4725,1
0.98735678,2,43,4520,1
0.98731768,6,1052,4395,1
0.98731482,6,1856,3951,1
0.98698592,2,610,4230,1
0.98689216,2,416,4094,1
0.98681897,8,2854,2867,1
0.98680568,2,627,2838,1
0.98653817,0,811,4368,1
0.98640096,4,609,1664,1
0.98637414,0,1035,4368,1
0.98613030,2,1974,3243,1
0.98606336,0,4368,4961,1
0.98601836,4,1099,3655,1
0.98599637,4,2350,3504,1
0.98592710,4,2903,4655,1
0.98591340,2,43,705,1
0.98583865,2,1202,2182,1
0.98582935,4,1971,2520,1
0.98569131,2,2256,4696,1
0.98559761,4,2714,2883,1
0.98544240,4,2724,3668,1
0.98538363,2,1685,2373,1
0.98538315,4,2876,4094,1
0.98538113,6,277,1506,1
0.98524797,4,43,2876,1
0.98524040,6,1995,3282,1
0.98511100,2,3141,3881,1
0.98478311,2,1120,2758,0
0.98471427,2,4725,4856,0
0.98456687,8,586,2553,0
0.98456663,4,3281,4267,0
0.98443758,4,503,3690,0
0.98440403,10,586,1522,0
0.98425865,4,2016,4915,0
0.98412824,2,1691,4230,0
0.98405826,8,586,3449,0
0.98400092,2,2758,4915,0
0.98395175,0,804,1062,0
0.98381126,6,1202,1251,0
0.98373085,0,1331,4458,0
0.98362488,12,3690,4806,0
0.98337179,8,3264,4725,0
0.98334122,8,2016,4395,0
0.98327702,4,3052,3760,0
0.98315018,2,1118,1691,0
0.98296225,6,311,627,0
0.98292655,2,311,2306,0
0.98277068,4,3396,4684,0
0.98262161,6,1263,2821,0
0.98262012,6,3282,3655,0
0.98254049,0,1691,4267,0
0.98248947,4,43,763,0
0.98229039,4,4825,4915,0
0.98227221,6,3766,4410,0
0.98219353,6,6,4332,0
0.98212826,10,75,953,0
0.98174751,4,324,3568,0
0.98173392,6,1099,3282,0
0.98163295,4,763,4094,0
0.98149359,4,1118,4458,0
0.98143268,4,2638,4684,0
0.98136306,8,804,2236,0
0.98127341,8,146,2520,0
0.98118758,6,1448,4410,0
0.98114693,4,2520,4856,0
0.98110008,0,324,1834,0
0.98107839,6,1685,2903,0
0.98099577,10,1257,1590,0
0.98090696,6,627,2306,0
0.98074555,0,2924,4368,0
0.98069084,0,3698,4368,0
0.98042786,6,3074,4447,0
0.98016107,4,628,1739,0
0.97990787,4,1097,1739,0
0.97980708,8,1522,2553,0
0.97964531,4,729,1205,0
0.97958076,8,1986,3074,0
0.97924238,8,1522,3449,0
0.97908807,4,2286,4218,0
0.97894251,6,3044,3568,0
0.97878444,10,75,586,0
0.97874153,6,3320,3872,0
0.97861695,4,431,4372,0
0.97859704,4,1120,1251,0
0.97809720,6,1202,3462,0
0.97809231,8,953,1522,0
0.97763687,8,729,4372,0
0.97747934,6,3384,4410,0
0.97745883,0,3141,3638,0
0.97743893,4,691,4267,0
0.97736448,8,3286,4915,0
0.97693199,4,2838,3872,0
0.97688633,4,2555,2873,0
0.97663867,8,883,1064,0
0.97655237,6,2081,2380,0
0.97650695,10,146,4725,0
0.97630978,2,536,3474,0
0.97620714,8,75,1522,0
0.97605771,6,270,431,0
0.97601509,4,3474,3881,0
0.97595704,6,2081,4285,0
0.97579587,10,2596,4218,0
0.97572809,4,1052,4915,0
0.97566533,6,2380,4285,0
0.97564536,8,785,2750,0
0.97548795,6,431,4604,0
0.97542483,10,3330,3839,0
0.97521412,4,311,3872,0
0.97517908,8,3619,3839,0
0.97515684,4,1739,4267,0
0.97512352,2,2858,3980,0
0.97506773,4,4230,4458,0
0.97504008,12,586,953,0
0.97498375,8,4332,4447,0
0.97498226,6,4285,4535,0
0.97483706,2,1097,4458,0
0.97483075,4,610,1739,0
0.97473532,2,1691,4458,0
0.97450638,2,691,3281,0
0.97450393,6,4285,4541,0
0.97445595,6,2286,2596,0
0.97443020,4,1118,1739,0
0.97437894,6,2380,3930,0
0.97434771,4,536,3015,0
0.97434711,0,1202,2758,0
0.97433829,10,1747,2840,0
0.97430587,10,1836,1855,0
0.97419727,4,1685,4655,0
0.97412312,6,2081,4541,0
0.97392273,4,1691,1739,0
0.97390300,4,1691,3281,0
0.97387308,10,2684,4806,0
0.97372109,0,628,4267,0
0.97333324,8,270,729,0
0.97332489,6,2306,3872,0
0.97327572,4,1118,1331,0
0.97317898,6,2730,3873,0
0.97316468,8,3855,4105,0
0.97315586,2,628,4458,0
0.97314233,8,2868,3568,0
0.97307712,4,1120,3462,0
0.97293317,2,610,4458,0
0.97287345,0,610,4267,0
0.97285545,4,1613,3292,0
0.97273755,6,2731,4548,0
0.97269309,10,2376,4439,0
0.97256613,10,1971,3264,0
0.97253346,4,3320,4696,0
0.97208881,14,4231,4582,0
0.97208589,10,4395,4825,0
0.97205585,0,536,3141,0
0.97205132,4,2533,3474,0
0.97197986,2,3442,3917,0
0.97195166,2,1217,4528,0
0.97193635,6,403,4447,0
0.97193420,8,2081,4535,0
0.97168779,4,570,1251,0
0.97141939,10,1712,3264,0
0.97139454,8,575,4856,0
0.97137994,6,575,1712,0
0.97130650,12,3839,3981,0
0.97120941,10,2288,4395,0
0.97109121,12,6,4447,0
0.97061878,8,324,3044,0
0.97040486,0,1097,4267,0
0.97037923,4,691,1691,0
0.97036350,8,1834,3044,0
0.97020006,4,1331,4230,0
0.97019899,8,298,3690,0
